nTasks=40;
nThreads=215;
nCPUs=10;
nCores=23;
rh=[275.10932947628515 419.14780702763755 441.7234759792111 316.58376008006746 463.52218376644146 141.06611402367201 247.54799052248327 240.26234857817448 436.76258073139047 140.24736772660026 232.34316297297028 299.1946216166996 447.0228405007793 316.3947618480855 476.961509236643 266.04225912368827 282.55647711337053 371.71242409435695 399.0480385696322 452.6582726935689 471.10046379157427 392.6863692689641 210.27763272826658 434.7034210325673 226.00275300823108 492.6175634384982 463.18609500373145 112.58142184704258 258.5329330104912 128.8614733128521 162.51214371605465 318.93023335901654 395.30672329470235 373.18640199516506 280.7716332895946 211.8440735765509 471.9772012333056 324.2259852680637 119.90460408976969 436.0551344037593 378.0395542395508 129.65751188452245 217.36567109461936 323.13073691653676 232.29487239589943 239.9266500395574 122.61170113326716 217.96925699169725 127.0384339146153 127.65135165289747 172.45906952272566 441.4479921529609 111.58903281355012 391.6381884654057 485.5412865777366 316.8049933382519 188.7666209782364 458.10133655910425 127.32184594274996 197.9067550536746 279.81242102048856 429.3957742165086 290.0688649262855 100.72542329575494 499.7796010853159 327.82485789748364 247.6187947321822 483.61358460270117 425.51378072815146 127.8082565826661 453.2912515457674 146.1382377086021 318.5427584750938 323.7616992138365 366.5978607030547 299.9317256169128 216.52595846808612 157.95681441621636 266.8410234251427 342.6783351189625 382.6318621972499 368.9311459147041 177.02361943573902 113.11406673044289 114.34649573711746 345.60270104798167 276.49996338136987 407.25371615881573 135.65478670882425 388.83313032315226 220.94270237840885 389.18192687623423 288.16079235569725 136.95571908895937 109.99560350694057 169.0153378341194 384.0376810311645 373.59550889825795 109.36488335538144 142.38959870579612 169.39384705782447 460.53960626655237 253.65557536445343 219.15552231232667 174.03262923887468 399.99840320038055 439.9730042710056 426.41235824181075 444.68073554785434 368.70003918464835 441.7291400802628 498.18381026726456 258.7849501394669 153.27330037337302 458.3650204391828 435.54526782732677 210.16833610341567 274.72057059487895 308.238808372843 288.4559889445138 119.21952762716597 204.77919642920241 109.10368958750456 350.98358711872817 106.17391824045099 478.07574353025853 201.2381451582836 180.58008708063096 372.9094337309713 260.4710933467785 460.66318304960896 151.56911287005434 192.11222973013182 327.66745327997296 229.1667178852553 164.9299743652678 266.25260493184874 211.99672314155265 140.29570174791633 311.8729437165772 269.3326889982816 180.35920065074808 311.6038297640707 412.4025701163309 336.8417561533138 125.92505326163099 279.5752929559859 236.06490415185812 153.1303970436642 440.8587398302671 401.49775848702205 348.34010288394273 456.33223635430227 382.15810836513316 101.80380820431631 457.6551993665291 117.5041382144054 190.95250810098472 415.7828708627058 264.43579627263097 396.86042777744257 252.54885801692103 147.0988811111359 351.50304074887936 192.41700321074413 416.73838876390704 416.13035438637974 351.0339258165468 149.46300291734778 283.6119162412799 428.0416817980017 278.5452723478773 123.91266924731696 292.27747253876464 216.05800900964226 415.39577167946146 215.43053384055395 376.3426715659986 215.26371357194495 145.99121707264828 438.4573298810885 215.74282859001443 371.8905564715554 356.1145727881825 351.29878907538324 317.66801385928807 398.69075439330993 244.49769968165606 313.2577220231178 172.39300537536303 408.2438898046249 220.74592994404452 336.56951666746556 435.21558402335114 457.13480176618646 477.8223845555654 324.5882786868102 491.0906727551023 330.42576608808554 186.32093632030376 190.0698001034333 419.24787532321255 317.42588755701127 256.09788790072054 224.64498215235204 405.14850212718835 280.38357061235325 320.9265795479355 136.7672165993012 453.4789782182536 380.9284333264314 382.13681612873114 207.0526902885236 250.30430680812032 249.0207867705787];
rc=[6738.689406966328 9016.021007083084 6211.012190130118 8045.615015198329 7753.6571462380725 7198.465277200597 9924.434927654416 5048.723357211973 9082.21908977129 6555.398422665963];
CK=[
	[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
];
TH=[
	[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
